year,records,mean_mpg,mpg_change_yoy,rolling_3_year_mpg
1984,1702,19.12162162162162,,19.12162162162162
1985,1543,19.394685677252106,0.27306405563048486,19.258153649436863
1986,1139,19.320456540825287,-0.07422913642681905,19.278921279899674
1987,1191,19.164567590260287,-0.15588895056500007,19.293236602779228
1988,1099,19.367606915377618,0.2030393251173308,19.284210348821063
1989,1120,19.141964285714284,-0.2256426296633336,19.224712930450732
1990,1049,19.031458531935176,-0.11050575377910832,19.180343244342357
1991,1093,18.838060384263496,-0.1933981476716795,19.003827733970983
1992,1098,18.861566484517304,0.02350610025380817,18.910361800238658
1993,1070,19.137383177570094,0.2758166930527892,18.9456700154503
1994,950,19.09263157894737,-0.04475159862272449,19.03052708034492
1995,934,18.87259100642398,-0.22004057252338782,19.034201920980482
1996,759,19.530961791831356,0.6583707854073744,19.165394792400903
1997,750,19.368,-0.16296179183135706,19.257184266085112
1998,792,19.329545454545453,-0.0384545454545453,19.409502415458935
1999,830,19.23975903614458,-0.0897864184008732,19.31243483023001
2000,809,19.169344870210136,-0.07041416593444438,19.24621645363339
2001,868,19.058755760368662,-0.11058910984147374,19.155953222241127
2002,927,18.93527508090615,-0.12348067946251362,19.054458570494983
2003,984,18.754065040650406,-0.18121004025574194,18.91603196064174
2004,1043,18.959731543624162,0.20566650297375588,18.88302388839357
2005,1089,19.005509641873278,0.04577809824911583,18.90643540871595
2006,1044,18.78639846743295,-0.21911117444032868,18.917213217643464
2007,1041,18.98751200768492,0.2011135402519706,18.92647337233038
2008,1095,19.19178082191781,0.2042688142328899,18.98856376567856
2009,1050,19.738095238095237,0.5463144161774274,19.30579602256599
2010,962,20.466735966735968,0.7286407286407304,19.798870675583004
2011,921,20.838219326818674,0.3714833600827063,20.34768351054996
2012,928,21.407327586206897,0.5691082593882228,20.904094293253845
2013,935,22.22566844919786,0.818340862990965,21.490405120741144
2014,972,22.27469135802469,0.049022908826827916,21.969229131143152
2015,1068,22.413857677902623,0.13916631987793338,22.304739161708394
2016,1071,22.717086834733895,0.3032291568312715,22.4685452902204
2017,1116,22.801075268817204,0.08398843408330947,22.644006593817906
2018,1153,22.825672159583696,0.024596890766492407,22.7812780877116
2019,1136,22.71038732394366,-0.11528483564003622,22.779044917448186
2020,1044,22.634099616858236,-0.07628770708542376,22.723386366795197
2021,1009,22.275520317145688,-0.35857929971254876,22.540002419315858
2022,987,22.175278622087134,-0.1002416950585534,22.361632852030354
2023,919,22.008705114254624,-0.1665735078325099,22.15316801782915
2024,752,22.09441489361702,0.08570977936239643,22.092799543319597
2025,626,22.30031948881789,0.20590459520087023,22.134479832229847
2026,559,22.09660107334526,-0.20371841547263259,22.163778485260057
2027,151,21.410596026490065,-0.6860050468551933,21.935838862884406
