year,powertrain,records,usable_range_records,mean_electricity_range_miles
1998,BEV,3,3,62.0
1999,BEV,7,7,69.42857142857143
2000,BEV,4,4,73.25
2001,BEV,5,5,47.6
2002,BEV,2,2,66.5
2003,BEV,1,1,95.0
2008,BEV,1,1,100.0
2011,BEV,4,4,73.25
2011,PHEV,1,1,35.0
2012,BEV,8,8,105.625
2012,PHEV,3,3,26.333333333333332
2013,BEV,14,14,106.14285714285714
2013,PHEV,4,4,22.25
2014,BEV,15,15,114.8
2014,PHEV,10,10,26.1
2015,BEV,18,18,157.38888888888889
2015,PHEV,12,12,24.0
2016,BEV,31,31,185.09677419354838
2016,PHEV,18,18,23.61111111111111
2017,BEV,30,30,186.9
2017,PHEV,19,19,24.894736842105264
2018,BEV,24,24,197.08333333333334
2018,PHEV,34,34,25.529411764705884
2019,BEV,35,35,229.22857142857143
2019,PHEV,36,36,27.333333333333332
2020,BEV,38,38,260.3421052631579
2020,PHEV,45,45,26.711111111111112
2021,BEV,51,51,246.88235294117646
2021,PHEV,50,50,27.88
2022,BEV,89,89,274.80898876404495
2022,PHEV,44,44,24.704545454545453
2023,BEV,144,144,276.3958333333333
2023,PHEV,44,44,28.09090909090909
2024,BEV,266,266,286.7706766917293
2024,PHEV,23,23,30.130434782608695
2025,BEV,326,326,291.9509202453988
2025,PHEV,67,67,27.940298507462686
2026,BEV,321,321,302.13084112149534
2026,PHEV,32,32,28.1875
2027,BEV,135,135,314.51851851851853
2027,PHEV,5,5,28.2
