make,powertrain,first_recorded_year,records
Chevrolet,BEV,1998,53
Honda,BEV,1998,16
Dodge,BEV,1999,23
Ford,BEV,1999,71
GMC,BEV,1999,22
Plymouth,BEV,1999,1
Honda,HEV,2000,104
Nissan,BEV,2000,57
Toyota,BEV,2000,30
Toyota,HEV,2001,287
Chevrolet,HEV,2004,51
GMC,HEV,2004,39
Ford,HEV,2005,78
Lexus,HEV,2006,148
Mazda,HEV,2006,21
Mercury,HEV,2006,12
Nissan,HEV,2007,17
Saturn,HEV,2007,8
MINI,BEV,2008,12
Cadillac,HEV,2009,8
Chrysler,HEV,2009,1
Dodge,HEV,2009,1
BMW,HEV,2010,178
Mercedes-Benz,HEV,2010,275
BMW,BEV,2011,151
Chevrolet,PHEV,2011,9
Hyundai,HEV,2011,84
Kia,HEV,2011,69
Lincoln,HEV,2011,13
Porsche,HEV,2011,6
Volkswagen,HEV,2011,9
smart,BEV,2011,16
Azure Dynamics,BEV,2012,1
BYD,BEV,2012,7
Buick,HEV,2012,12
CODA Automotive,BEV,2012,2
Fisker,PHEV,2012,1
Infiniti,HEV,2012,29
Mitsubishi,BEV,2012,5
Tesla,BEV,2012,185
Toyota,PHEV,2012,21
Acura,HEV,2013,18
Audi,HEV,2013,154
Fiat,BEV,2013,13
Ford,PHEV,2013,21
Scion,BEV,2013,1
BMW,PHEV,2014,75
Cadillac,PHEV,2014,6
Ferrari,HEV,2014,3
Honda,PHEV,2014,5
McLaren Automotive,PHEV,2014,3
Mercedes-Benz,BEV,2014,75
Porsche,PHEV,2014,62
Subaru,HEV,2014,6
Kia,BEV,2015,54
Mercedes-Benz,PHEV,2015,28
Volkswagen,BEV,2015,36
Audi,PHEV,2016,13
Hyundai,PHEV,2016,16
Volvo,PHEV,2016,44
Chrysler,PHEV,2017,10
Hyundai,BEV,2017,62
Kia,PHEV,2017,22
Jeep,HEV,2018,18
Karma,PHEV,2018,5
MINI,PHEV,2018,6
Mitsubishi,PHEV,2018,9
Audi,BEV,2019,85
Jaguar,BEV,2019,7
Koenigsegg,HEV,2019,2
Land Rover,HEV,2019,110
Land Rover,PHEV,2019,11
Ram,HEV,2019,42
Subaru,PHEV,2019,4
Bentley,PHEV,2020,18
Lincoln,PHEV,2020,9
McLaren Automotive,HEV,2020,1
Polestar,PHEV,2020,2
Porsche,BEV,2020,97
Ferrari,PHEV,2021,18
Jaguar,HEV,2021,11
Jeep,PHEV,2021,11
Kandi,BEV,2021,1
Polestar,BEV,2021,34
Volvo,BEV,2021,42
Lexus,PHEV,2022,6
Lucid,BEV,2022,64
Mazda,BEV,2022,2
Rivian,BEV,2022,187
Cadillac,BEV,2023,37
Fisker,BEV,2023,3
Genesis,BEV,2023,27
Genesis,HEV,2023,7
Lexus,BEV,2023,20
Lordstown,BEV,2023,1
Maserati,HEV,2023,6
Subaru,BEV,2023,20
Vinfast,BEV,2023,13
Volvo,HEV,2023,41
Acura,BEV,2024,6
Alfa Romeo,PHEV,2024,2
Bugatti Rimac,BEV,2024,4
Dodge,PHEV,2024,2
Jeep,BEV,2024,7
Lamborghini,HEV,2024,2
Maserati,BEV,2024,10
Mazda,PHEV,2024,5
Rolls-Royce,BEV,2024,12
Lamborghini,PHEV,2025,2
Aston Martin,PHEV,2026,1
Mitsubishi,HEV,2026,2
